Token, Language, Named Entity, Eng-NGram Prob, Spn-NGram Prob, HMM Prob
Elaine,Eng,PERSON/PERS,8.30550636428,0.69177948231,0.452123552124
S.,Eng,PERSON/PERS,2.26898759315,3.23155792445,0.452123552124
Brooks,Eng,PERSON/PERS,23.549296945,2.70040193231,0.452123552124
",Punct,O,N/A,N/A,N/A
Luis,Spn,PERSON/PERS,8.76594544272,16.4963181197,0.0921492921493
Cárcamo-Huechante,Spn,O/PERS,-37.216489203,-15.0030182332,0.363577863578
",Punct,O,N/A,N/A,N/A
Debra,Spn,PERSON/PERS,11.7759320449,13.103960115,0.363577863578
A.,Spn,PERSON/PERS,5.36191702253,5.22183862829,0.363577863578
Castillo,Spn,PERSON/PERS,19.426292691,25.8496086951,0.363577863578
",Punct,O,N/A,N/A,N/A
Hector,Eng,PERSON/PERS,18.1540580397,14.6616180608,0.0921492921493
Mario,Spn,PERSON/PERS,20.060293999,23.2279192196,0.0921492921493
Cavallari,Spn,PERSON/PERS,0.3902266893,4.57924594078,0.363577863578
",Punct,O,N/A,N/A,N/A
Toni,Eng,PERSON/PERS,19.129222564,14.5770782768,0.0921492921493
Clark,Eng,PERSON/PERS,17.0311380995,14.1508179336,0.452123552124
",Punct,O,N/A,N/A,N/A
Mary,Eng,PERSON/PERS,22.4193555247,16.5675641644,0.452123552124
Coffey,Eng,PERSON/PERS,11.9099558724,3.19239033731,0.452123552124
",Punct,O,N/A,N/A,N/A
Grace,Eng,O/OTROS,20.2788011995,16.3164569152,0.452123552124
Dávila-López,Spn,O/OTROS,-30.8569153876,-19.4198627893,0.0921492921493
",Punct,O,N/A,N/A,N/A
María,Spn,PERSON/PERS,9.28308924211,24.8783279836,0.363577863578
Donapetry,Eng,PERSON/PERS,6.87247779608,-1.9137089239,0.0921492921493
",Punct,O,N/A,N/A,N/A
Robert,Eng,PERSON/PERS,16.6702499196,15.7842202549,0.452123552124
R.,Eng,PERSON/PERS,2.72230107874,2.97822673283,0.452123552124
Ellis,Eng,PERSON/PERS,9.59749004593,11.4570171001,0.452123552124
",Punct,O,N/A,N/A,N/A
Adrianne,Spn,PERSON/PERS,-0.93871694939,2.41863754285,0.0921492921493
Estill,Spn,PERSON/PERS,19.3785735271,21.3252858377,0.363577863578
",Punct,O,N/A,N/A,N/A
David,Eng,PERSON/PERS,17.8184099011,16.8464003145,0.0921492921493
William,Eng,PERSON/PERS,29.0448925948,3.15889654533,0.452123552124
Foster,Eng,PERSON/PERS,18.7776141805,1.84470773774,0.452123552124
",Punct,O,N/A,N/A,N/A
Juan,Spn,PERSON/PERS,11.1656693037,14.6654764167,0.0921492921493
Carlos,Spn,PERSON/PERS,13.4713839272,25.7487440235,0.363577863578
Galeano,Spn,PERSON/PERS,0.766793620407,2.93323954127,0.363577863578
",Punct,O,N/A,N/A,N/A
Alicia,Spn,PERSON/PERS,9.42318723249,14.2071030484,0.363577863578
Garza,Spn,PERSON/PERS,6.61776829142,8.59176739816,0.363577863578
",Punct,O,N/A,N/A,N/A
Alicia,Spn,PERSON/PERS,9.42318723249,14.2071030484,0.363577863578
Gaspar,Spn,PERSON/PERS,4.62297222719,6.49203786495,0.363577863578
de,Spn,PERSON/O,13.8613083221,21.6054699814,0.363577863578
Alba,Spn,PERSON/ORG,13.090878272,14.5953358328,0.363577863578
",Punct,O,N/A,N/A,N/A
Rosemary,Eng,PERSON/PERS,7.89015148677,-2.82112533989,0.0921492921493
Geisdorfer,Eng,PERSON/PERS,-14.1300419902,-19.7765878626,0.452123552124
Feal,Eng,PERSON/PERS,8.92053780191,4.37329119831,0.452123552124
",Punct,O,N/A,N/A,N/A
Joshua,Eng,PERSON/OTROS,-1.68137068802,-2.65983973506,0.452123552124
and,Eng,O,34.6599707262,16.3582560041,0.452123552124
Peggy,Eng,PERSON/PERS,5.36807105231,6.32096726808,0.452123552124
Golden,Eng,PERSON/PERS,23.3207425231,2.27426993357,0.452123552124
",Punct,O,N/A,N/A,N/A
Martha,Eng,PERSON/PERS,14.6145065571,16.4312817384,0.452123552124
Goldin,Eng,PERSON/PERS,16.2440887076,0.19482839189,0.452123552124
",Punct,O,N/A,N/A,N/A
Deena,Eng,PERSON/PERS,6.46656484217,1.8348401978,0.452123552124
J.,Eng,PERSON/PERS,1.59259221997,1.46160353462,0.452123552124
González,Spn,PERSON/PERS,1.83017583241,6.9353350329,0.0921492921493
",Punct,O,N/A,N/A,N/A
Verónica,Spn,PERSON/PERS,-1.51745817747,14.707024711,0.363577863578
Grossi,Eng,PERSON/PERS,15.1088229042,2.49233692497,0.0921492921493
",Punct,O,N/A,N/A,N/A
Lucía,Spn,O/ORG,4.72258643523,14.7295666044,0.0921492921493
GuerraCunningham,Eng,O/ORG,8.74861661175,-6.25586710458,0.0921492921493
",Punct,O,N/A,N/A,N/A
Andrea,Eng,PERSON/PERS,19.4962423622,19.1857635241,0.452123552124
Gutiérrez,Spn,PERSON/PERS,-8.44605009605,2.90344568124,0.0921492921493
",Punct,O,N/A,N/A,N/A
Elizabeth,Spn,PERSON/PERS,7.04080534225,10.5236388258,0.363577863578
R.,Spn,PERSON/PERS,2.72230107874,2.97822673283,0.363577863578
Horan,Spn,PERSON/PERS,8.78429390507,14.8747635654,0.363577863578
",Punct,O,N/A,N/A,N/A
Lillian,Eng,PERSON/PERS,12.1422738342,-1.77581543164,0.0921492921493
Kaiser,Eng,PERSON/PERS,7.24475006309,-9.46533108759,0.452123552124
",Punct,O,N/A,N/A,N/A
Laura,Spn,PERSON/PERS,14.4846634816,19.4759989579,0.0921492921493
Klein,Eng,PERSON/PERS,-2.18418120488,-11.3400874764,0.0921492921493
",Punct,O,N/A,N/A,N/A
Alicia,Spn,PERSON/PERS,9.42318723249,14.2071030484,0.0921492921493
Kozameh,Eng,PERSON/PERS,-10.4921337502,-16.3803740326,0.0921492921493
",Punct,O,N/A,N/A,N/A
Josh,Eng,PERSON/PERS,4.83482238803,3.85635334099,0.452123552124
Kun,Eng,PERSON/PERS,3.56824712338,-1.82816212679,0.452123552124
",Punct,O,N/A,N/A,N/A
Wim,Eng,O/PERS,11.7823642409,-2.43248177012,0.452123552124
Lindeque,Eng,O/PERS,5.97589561111,5.96569238568,0.452123552124
",Punct,O,N/A,N/A,N/A
Tiffany,Eng,PERSON/PERS,8.89697405272,-5.0560632336,0.452123552124
Ana,Eng,PERSON/PERS,15.8229564214,14.3427011639,0.452123552124
López,Spn,PERSON/PERS,-8.29254801546,11.0340765615,0.0921492921493
",Punct,O,N/A,N/A,N/A
Adelaida,Spn,PERSON/ORG,-0.332087196686,5.94667508561,0.363577863578
López-Mejía,Spn,PERSON/ORG,-27.8411272436,-10.9994093164,0.363577863578
",Punct,O,N/A,N/A,N/A
Gustavo,Spn,PERSON/PERS,-0.762251859851,19.3599616595,0.363577863578
Llarull,Spn,PERSON/PERS,-11.0020786017,-0.176016875847,0.363577863578
",Punct,O,N/A,N/A,N/A
Jorge,Spn,PERSON/PERS,5.6558029401,13.449760156,0.363577863578
Mariscal,Spn,PERSON/PERS,9.83401926116,18.9550164487,0.363577863578
",Punct,O,N/A,N/A,N/A
Francine,Eng,PERSON/PERS,24.0592979352,14.6281246317,0.0921492921493
Masiello,Eng,PERSON/PERS,3.09560391104,0.695728091158,0.452123552124
",Punct,O,N/A,N/A,N/A
Alistair,Eng,PERSON/PERS,10.8334090124,6.56820013214,0.452123552124
McCartney,Eng,PERSON/PERS,-0.810636207173,-9.87646263509,0.452123552124
",Punct,O,N/A,N/A,N/A
Michael,Eng,PERSON/PERS,22.6512820333,11.9097274181,0.452123552124
McGaha,Eng,PERSON/PERS,-3.88332952186,-6.63596185895,0.452123552124
",Punct,O,N/A,N/A,N/A
Tim,Eng,PERSON/PERS,20.7449308113,10.3434465326,0.452123552124
Miller,Eng,PERSON/PERS,23.1895843585,19.0429151249,0.452123552124
",Punct,O,N/A,N/A,N/A
María,Spn,PERSON/PERS,9.28308924211,24.8783279836,0.0921492921493
Gabriela,Spn,PERSON/PERS,0.485043308529,8.50634814419,0.363577863578
Mizraje,Spn,PERSON/PERS,-5.61937577076,-0.553067801017,0.363577863578
",Punct,O,N/A,N/A,N/A
Florence,Eng,LOCATION/PERS,16.5070755157,8.28304280836,0.0921492921493
MoorheadRosenberg,Eng,O/PERS,-17.9811189792,-30.429053606,0.452123552124
",Punct,O,N/A,N/A,N/A
Francisca,Eng,PERSON/PERS,18.7362933701,15.8972821608,0.452123552124
Noguerol,Eng,PERSON/PERS,-3.77696805079,-2.33228529414,0.452123552124
",Punct,O,N/A,N/A,N/A
Andrea,Eng,PERSON/PERS,19.4962423622,19.1857635241,0.452123552124
Ostrov,Eng,PERSON/PERS,-2.81674130772,-1.72139693802,0.452123552124
",Punct,O,N/A,N/A,N/A
Cristina,Spn,PERSON/PERS,19.069541169,21.588688851,0.0921492921493
Piña,Spn,PERSON/PERS,2.87712729923,10.7544857802,0.363577863578
",Punct,O,N/A,N/A,N/A
Hilda,Eng,PERSON/PERS,7.52604730582,1.63719663099,0.0921492921493
Rais,Eng,PERSON/PERS,16.4698032635,4.94926236369,0.452123552124
",Punct,O,N/A,N/A,N/A
Lynn,Eng,PERSON/PERS,7.01027801768,4.26391042764,0.452123552124
Rapaport,Eng,PERSON/PERS,1.90247229228,-1.02313803936,0.452123552124
",Punct,O,N/A,N/A,N/A
Victor,Eng,PERSON/PERS,17.4743347004,19.064320478,0.452123552124
Richini,Eng,PERSON/PERS,11.3468296408,1.18017483359,0.452123552124
",Punct,O,N/A,N/A,N/A
John,Eng,PERSON/PERS,16.578859574,12.3695307379,0.452123552124
Carlos,Spn,PERSON/PERS,13.4713839272,25.7487440235,0.0921492921493
Rowe,Eng,PERSON/PERS,9.18629472465,1.97061194882,0.0921492921493
",Punct,O,N/A,N/A,N/A
Emma,Eng,PERSON/PERS,6.09440906709,3.05703003501,0.452123552124
Sepúlveda,Eng,PERSON/PERS,-4.83445817716,-5.13913832867,0.452123552124
",Punct,O,N/A,N/A,N/A
Ana,Eng,PERSON/PERS,15.8229564214,14.3427011639,0.452123552124
María,Spn,PERSON/PERS,9.28308924211,24.8783279836,0.0921492921493
Shua,Eng,PERSON/PERS,10.3879439275,2.9179003656,0.0921492921493
",Punct,O,N/A,N/A,N/A
Saúl,Eng,O/PERS,5.45385984115,3.42832104908,0.452123552124
Sosnowski,Eng,O/PERS,-5.5803015155,-8.11156646135,0.452123552124
",Punct,O,N/A,N/A,N/A
Ilán,Eng,O/PERS,1.8719853298,1.66137440015,0.452123552124
Stavans,Eng,O/PERS,10.0952459664,-6.18420934075,0.452123552124
",Punct,O,N/A,N/A,N/A
Mónica,Spn,O/PERS,-10.2463576254,12.8309637422,0.0921492921493
Szurmuk,Eng,O/PERS,-12.4120571845,-15.1383663073,0.0921492921493
",Punct,O,N/A,N/A,N/A
Miguel,Spn,PERSON/PERS,10.212182752,16.8266937528,0.0921492921493
Tinker,Eng,PERSON/PERS,15.3245773802,1.84835314411,0.0921492921493
Salas,Spn,PERSON/PERS,14.7325344062,18.1937891964,0.0921492921493
",Punct,O,N/A,N/A,N/A
Daniel,Eng,PERSON/PERS,16.3561179568,12.1742022639,0.0921492921493
Torres,Spn,PERSON/PERS,13.0388919619,17.8145450386,0.0921492921493
",Punct,O,N/A,N/A,N/A
Paulina,Eng,PERSON/PERS,11.2438519538,4.36498359633,0.0921492921493
Vinderman,Eng,PERSON/PERS,8.09522756767,8.27675562425,0.452123552124
",Punct,O,N/A,N/A,N/A
Margaret,Eng,PERSON/PERS,17.8716393723,16.5853206357,0.452123552124
Waller,Eng,PERSON/PERS,27.461567553,-0.239402281635,0.452123552124
",Punct,O,N/A,N/A,N/A
Suzinn,Eng,PERSON/PERS,0.718160070289,0.543226097594,0.452123552124
Lee,Eng,PERSON/PERS,15.0865379628,15.0093779145,0.452123552124
Weiss,Eng,PERSON/PERS,10.2343562092,-7.12448010118,0.452123552124
",Punct,O,N/A,N/A,N/A
Heather,Eng,PERSON/PERS,35.3851460328,-0.532136253203,0.452123552124
Williams,Eng,PERSON/PERS,31.0826102931,1.22255584729,0.452123552124
",Punct,O,N/A,N/A,N/A
Howard,Eng,PERSON/PERS,24.087999385,0.61277816244,0.452123552124
T.,Eng,PERSON/PERS,3.31381559636,1.53261978325,0.452123552124
Young,Eng,PERSON/PERS,36.06501853,7.91380769836,0.452123552124
.,Punct,O,N/A,N/A,N/A
The,Eng,O,36.4407946419,10.3298892733,0.452123552124
following,Eng,O,35.8170603508,-6.85643619409,0.452123552124
former,Eng,O,28.1102849053,9.46418267604,0.452123552124
students,Eng,O,41.0846125603,-9.10583364215,0.452123552124
at,Eng,O,21.6092487314,9.327932083,0.452123552124
Pomona,Eng,ORGANIZATION/LUG,4.40403538386,2.36453721809,0.452123552124
College,Eng,ORGANIZATION/LUG,40.2078931529,13.6598709343,0.452123552124
have,Eng,O,37.423951585,9.35655377558,0.452123552124
all,Eng,O,28.4957045692,15.1279488924,0.452123552124
read,Eng,O,30.9505740831,9.05272722757,0.452123552124
and,Eng,O,34.6599707262,16.3582560041,0.452123552124
given,Eng,O,26.588516634,0.612811871376,0.452123552124
me,Eng,O,20.4125145712,19.8593917724,0.452123552124
invaluable,Eng,O,27.7425247535,-1.27883064257,0.452123552124
feedback,Eng,O,21.4679612477,-11.0104702109,0.452123552124
on,Eng,O,22.5046277778,7.2126042423,0.452123552124
múltiples,Spn,O,-6.43003176586,-3.18503424844,0.0921492921493
versiones,Spn,O,24.9423908278,27.3762403425,0.363577863578
de,Spn,O,13.8613083221,21.6054699814,0.363577863578
estas,Spn,O,11.0604849365,32.0118621254,0.363577863578
crónicas,Spn,O,-8.82928293471,8.03395992898,0.363577863578
",Punct,O,N/A,N/A,N/A
and,Eng,O,34.6599707262,16.3582560041,0.0921492921493
have,Eng,O,37.423951585,9.35655377558,0.452123552124
been,Eng,O,32.4117931892,2.48393276152,0.452123552124
been,Eng,O,32.4117931892,2.48393276152,0.452123552124
closely,Eng,O,26.6834874385,0.613103925812,0.452123552124
involved,Eng,O,40.7929701833,8.88315344577,0.452123552124
with,Eng,O,34.7941120358,-3.61113676646,0.452123552124
me,Eng,O,20.4125145712,19.8593917724,0.452123552124
in,Eng,O,24.4634706325,11.0915247383,0.452123552124
classes,Eng,O,32.0423372301,5.72821715147,0.452123552124
",Punct,O,N/A,N/A,N/A
as,Eng,O,21.478642819,13.3169383138,0.452123552124
research,Eng,O,34.2632371688,2.25502144292,0.452123552124
assistants,Eng,O,33.304679058,-2.73757768341,0.452123552124
",Punct,O,N/A,N/A,N/A
y,Spn,O,9.49071276858,13.3354107177,0.0921492921493
en,Spn,O,11.7453272047,20.2379247267,0.363577863578
la,Spn,O,15.0596736711,20.7584499854,0.363577863578
vida,Spn,O,6.17152576563,22.8507216712,0.363577863578
.,Punct,O,N/A,N/A,N/A
Para,Spn,O,19.548622753,30.3122244174,0.363577863578
todos,Spn,O,11.4186409277,30.3582428346,0.363577863578
",Punct,O,N/A,N/A,N/A
gracias,Spn,O,11.5549190948,34.7789226552,0.363577863578
:,Punct,O,N/A,N/A,N/A
Francisco,Eng,PERSON/PERS,27.9959951716,20.3146156093,0.0921492921493
Dueñas,Spn,PERSON/PERS,0.54016113684,15.7253307194,0.0921492921493
",Punct,O,N/A,N/A,N/A
Tanya,Eng,PERSON/PERS,12.9376737734,7.09039002542,0.0921492921493
González,Spn,PERSON/PERS,1.83017583241,6.9353350329,0.0921492921493
(,Punct,O,N/A,N/A,N/A
Scripps,Eng,ORGANIZATION/ORG,11.1284682462,-7.41171264249,0.0921492921493
College,Eng,ORGANIZATION/ORG,40.2078931529,13.6598709343,0.452123552124
),Punct,O,N/A,N/A,N/A
",Punct,O,N/A,N/A,N/A
Gabriela,Spn,PERSON/PERS,0.485043308529,8.50634814419,0.0921492921493
Grannis,Eng,PERSON/PERS,20.5002968498,7.55283915732,0.0921492921493
",Punct,O,N/A,N/A,N/A
Gregorio,Spn,PERSON/PERS,7.3609765577,11.91849815,0.0921492921493
Houser,Eng,PERSON/PERS,27.7527472545,2.45332779584,0.0921492921493
",Punct,O,N/A,N/A,N/A
Michael,Eng,PERSON/PERS,22.6512820333,11.9097274181,0.452123552124
Kidd,Eng,PERSON/PERS,17.7547163942,-2.88073528466,0.452123552124
",Punct,O,N/A,N/A,N/A
Annie,Eng,PERSON/PERS,20.0480094272,5.02726874082,0.452123552124
Mascorro,Spn,PERSON/PERS,3.51505526112,10.609784595,0.0921492921493
",Punct,O,N/A,N/A,N/A
Clara,Spn,PERSON/PERS,15.2236302733,20.0997228663,0.363577863578
S.,Spn,PERSON/PERS,2.26898759315,3.23155792445,0.363577863578
Moon,Eng,PERSON/PERS,17.6439581295,5.70362512023,0.0921492921493
",Punct,O,N/A,N/A,N/A
Anna,Eng,PERSON/ORG,21.469172614,8.62183751547,0.452123552124
A.I,Eng,O/ORG,1.41067330395,0.354304177838,0.452123552124
I,Eng,O/ORG,17.8994570652,7.18059700701,0.452123552124
Moore,Eng,PERSON/ORG,15.1250345944,8.34405513366,0.452123552124
",Punct,O,N/A,N/A,N/A
Marissa,Spn,PERSON/PERS,10.740740542,13.2851355258,0.0921492921493
Muñoz,Spn,PERSON/PERS,0.908663568887,8.17903574893,0.363577863578
",Punct,O,N/A,N/A,N/A
Vickie,Eng,PERSON/PERS,6.95606158878,6.45254755857,0.0921492921493
Ramos,Spn,PERSON/PERS,7.93904349924,19.4772232175,0.0921492921493
",Punct,O,N/A,N/A,N/A
Cristóbal,Spn,PERSON/PERS,0.603200488244,20.1932738835,0.363577863578
Schraeder,Eng,PERSON/PERS,-1.0488432139,-10.522089391,0.0921492921493
",Punct,O,N/A,N/A,N/A
Alelí,Eng,O/ORG,6.90604233188,6.15838705004,0.452123552124
Stok,Eng,O/ORG,15.8081635232,1.98064236088,0.452123552124
",Punct,O,N/A,N/A,N/A
Adam,Eng,PERSON/PERS,13.5790544665,5.95117092657,0.452123552124
Teicholz,Eng,PERSON/PERS,-5.07728529338,-8.29013431975,0.452123552124
",Punct,O,N/A,N/A,N/A
Danilo,Eng,PERSON/PERS,7.16028227107,5.29176479289,0.452123552124
Trisi,Eng,PERSON/PERS,11.3689559884,12.01864508,0.452123552124
",Punct,O,N/A,N/A,N/A
Elizabeth,Spn,PERSON/PERS,7.04080534225,10.5236388258,0.0921492921493
“,Eng,PERSON/PERS,-6.51619307604,-6.51619307604,0.0921492921493
Mia,Eng,PERSON/PERS,11.5873976512,8.89118046676,0.452123552124
”,Eng,PERSON/PERS,-6.51619307604,-6.51619307604,0.452123552124
Vogel,Eng,PERSON/PERS,-0.617736984892,-0.641651421705,0.452123552124
.,Punct,O,N/A,N/A,N/A
I,Eng,O,17.8994570652,7.18059700701,0.452123552124
thank,Eng,O,38.2159797482,7.55426603007,0.452123552124
Elisabeth,Spn,PERSON/PERS,-2.68036065349,5.56559036778,0.0921492921493
(,Punct,O,N/A,N/A,N/A
Echagüe,Spn,O/PERS,-6.7903735645,3.1118168382,0.363577863578
),Punct,O,N/A,N/A,N/A
Bonet,Eng,PERSON/PERS,11.053244035,4.42198507182,0.0921492921493
and,Eng,O,34.6599707262,16.3582560041,0.452123552124
Chris,Eng,PERSON/PERS,23.0124337751,7.71464578837,0.452123552124
Sadiq,Eng,PERSON/PERS,9.11742148728,2.9428132333,0.452123552124
",Punct,O,N/A,N/A,N/A
masajistas,Spn,O,-3.78129637247,11.3841977142,0.0921492921493
sin,Spn,O,18.274749433,20.7923375799,0.363577863578
par,Spn,O,19.2232003525,21.0589283044,0.363577863578
in,Eng,O,24.4634706325,11.0915247383,0.0921492921493
Buenos,Spn,LOCATION/LUG,7.16731918217,31.6081845578,0.0921492921493
Aires,Eng,LOCATION/LUG,15.9114510568,10.9637881424,0.0921492921493
and,Eng,O,34.6599707262,16.3582560041,0.452123552124
Claremont,Spn,LOCATION/LUG,7.6718830446,15.713945885,0.0921492921493
respectively,Eng,O,45.3132040562,14.1154737539,0.0921492921493
.,Punct,O,N/A,N/A,N/A
Your,Eng,O/ORG,36.2248210058,10.2318969779,0.452123552124
healing,Eng,O/ORG,31.5921501996,-1.0139743401,0.452123552124
hands,Eng,O/ORG,28.9704384684,6.74756485671,0.452123552124
keep,Eng,O/ORG,25.407180398,-5.77940584537,0.452123552124
my,Eng,O/ORG,21.1466066421,8.00879906524,0.452123552124
words,Eng,O/ORG,29.5262433284,-6.43845038839,0.452123552124
flowing,Eng,O/ORG,26.1560471667,-4.09042906936,0.452123552124
.,Punct,O,N/A,N/A,N/A
Slightly,Eng,O/PERS,22.1243061251,-9.6837028704,0.452123552124
different,Eng,O,52.608305662,4.00820726437,0.452123552124
versions,Eng,O,31.8684274052,12.1200546795,0.452123552124
of,Eng,O,24.2129419658,8.38657685144,0.452123552124
several,Eng,O,37.9237379492,14.5983710617,0.452123552124
of,Eng,O,24.2129419658,8.38657685144,0.452123552124
these,Eng,O,42.2438879004,4.56871878157,0.452123552124
crónicas,Spn,O,-8.82928293471,8.03395992898,0.0921492921493
were,Eng,O,33.8563425393,-5.65814303239,0.0921492921493
published,Eng,O,33.7039078707,-2.18826108023,0.452123552124
in,Eng,O,24.4634706325,11.0915247383,0.452123552124
the,Eng,O,36.4407946419,10.3298892733,0.452123552124
following,Eng,O,35.8170603508,-6.85643619409,0.452123552124
journals,Eng,O,20.257378087,-10.923621062,0.452123552124
:,Punct,O,N/A,N/A,N/A
“,Eng,O,-6.51619307604,-6.51619307604,0.452123552124
‘,Eng,O,-6.51619307604,-6.51619307604,0.452123552124
Killer,Eng,O/ORG,26.983015098,0.865770915422,0.452123552124
’,Eng,O/ORG,-6.51619307604,-6.51619307604,0.452123552124
Crónicas,Spn,O/ORG,-8.82928293471,8.03395992898,0.0921492921493
",Punct,O,N/A,N/A,N/A
”,Eng,O,-6.51619307604,-6.51619307604,0.0921492921493
Letras,Spn,O/ORG,7.91976779487,19.2898678525,0.0921492921493
FemeninasVII:2,Spn,O/ORG,-22.2628901256,-15.8490521379,0.363577863578
(,Punct,O,N/A,N/A,N/A
2001,Spn,O/ORG,-4.46866175629,-1.33585918058,0.363577863578
),Punct,O,N/A,N/A,N/A
",Punct,O,N/A,N/A,N/A
123–29,Spn,O,-13.1588549566,-10.5236420795,0.363577863578
;,Punct,O,N/A,N/A,N/A
“,Spn,O/ORG,-6.51619307604,-6.51619307604,0.363577863578
Crónicas,Spn,O/ORG,-8.82928293471,8.03395992898,0.363577863578
chinescas,Eng,O,13.3490390824,11.1614241944,0.0921492921493
